name,ttm,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
InterestExpense,"602,281,000","319,036,000","418,580,000","135,487,000","137,179,000",,"169,175,000","52,817,000",,,"107,974,000","37,719,000","54,449,000","43,754,000","64,264,000","33,099,000","21,773,000","109,102,000","70,671,000","25,691,000","28,215,000","50,698,000","61,113,000","43,633,000","45,424,000","76,539,000","127,080,000","34,215,000","32,825,000","152,186,000","114,671,000","28,416,000","26,760,000","55,854,000","45,283,000","18,620,000","18,512,000","8,098,000","39,449,000","12,765,000",,,"77,700,000","46,710,000","32,810,000","24,730,000","16,818,000","45,007,000",,,"0","12,955,000",,,"14,335,000","17,443,000"
NetInterestIncome,"-571,628,000","-192,765,000","-131,594,000","-120,815,000","-130,998,000","-83,656,000","-68,834,000","-54,207,000","-34,809,000","-26,403,000","-34,739,000","-40,506,000","-56,243,000","-44,521,000","-36,918,000","-33,376,000","-23,391,000","-24,967,000","-15,032,000","-26,845,000","-29,439,000","-16,063,000","-22,473,000","-46,721,000","-49,059,000","-40,689,000","-11,642,000","-32,131,000","-33,951,000","-44,990,000","-14,763,000","-31,567,000","-27,805,000","-19,019,000","-19,163,000","-19,795,000","-14,949,000","-8,098,000","-17,820,000","6,554,000","3,433,000","-39,525,000","-40,229,000","-18,340,000","-3,159,000","-6,126,000","11,519,000","-17,935,000","-16,312,000","-24,459,000","542,000","-12,955,000","7,326,000","3,870,000","-14,335,000","-17,443,000"
EBIT,"2,534,688,000","174,504,000","1,095,300,000","1,299,109,000","373,776,000","194,285,000","820,232,000","624,249,000","-16,119,000","93,922,000","397,282,000","268,731,000","143,019,000","-107,428,000","376,136,000","198,501,000","61,256,000","152,890,000","320,222,000","277,950,000","190,380,000","148,730,000","176,634,000","168,905,000","202,924,000","37,431,000","11,809,000","26,933,000","78,723,000","163,008,000","174,599,000","78,422,000","44,908,000","55,675,000","51,426,000","83,580,000","10,840,000","30,928,000","93,725,000","68,915,000","12,337,000","48,379,000","19,931,000","103,606,000","81,036,000","119,149,000","81,155,000","79,204,000","164,424,000","24,014,000","-11,096,000","48,842,000","8,679,000","-39,240,000","5,909,000","58,674,000"
EBITDA,"2,960,662,000"
ReconciledCostOfRevenue,"6,071,336,000","1,215,934,000","1,460,217,000","2,017,128,000","1,378,058,000","934,982,000","895,667,000","868,018,000","872,611,000","734,459,000","596,454,000","599,258,000","-322,682,000","625,332,000","412,246,000","353,113,000","68,172,000","293,953,000","162,981,000","241,679,000","559,510,000","405,473,000","303,451,000","274,171,000","424,833,000","277,417,000","363,402,000","347,529,000","465,867,000","255,053,000","365,185,000","242,355,000","327,760,000","260,887,000","343,159,000","234,284,000","302,247,000","212,791,000","220,612,000","184,584,000","225,679,000","195,252,000","223,180,000","220,845,000","234,391,000","148,044,000","135,876,000","121,541,000","284,446,000","121,631,000","145,035,000","139,687,000","119,268,000","152,406,000","123,245,000","89,630,000"
ReconciledDepreciation,"425,974,000","101,707,000","104,828,000","126,692,000","92,747,000","85,471,000","56,954,000","43,985,000","58,910,000","59,035,000","44,612,000","30,792,000","45,642,000","51,933,000","28,665,000","22,906,000","47,260,000","23,093,000","25,833,000","15,045,000","26,403,000","27,384,000","24,486,000","13,233,000","27,158,000","23,626,000","33,175,000","20,283,000","31,984,000","24,577,000","33,235,000","17,007,000","15,939,000","24,954,000","33,960,000","25,066,000","24,622,000","26,975,000","27,109,000","27,681,000","35,844,000","27,675,000","23,158,000","21,135,000","5,332,000","21,546,000","21,008,000","21,109,000","34,012,000","16,110,000","11,331,000","18,371,000","7,181,000","19,207,000","22,474,000","14,503,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,334,908,000","-63,655,000","473,919,000","745,124,000","179,520,000","121,012,000","418,724,000","342,860,000","183,203,000","-23,749,000","185,695,000","143,525,000","84,554,000","-80,298,000","205,391,000","101,867,000","34,088,000","35,793,000","157,048,000","154,321,000","136,247,000","68,791,000","76,565,000","74,738,000","112,574,000","-17,219,000","-58,640,000","-6,770,000","35,021,000","11,568,000","42,274,000","33,666,000","16,673,000","2,019,000","5,559,000","43,647,000","-1,876,000","14,960,000","36,300,000","46,189,000","50,888,000","-670,000","-45,273,000","33,160,000","-45,342,000","62,609,000","42,007,000","22,373,000","33,532,000","4,390,000","-5,921,000","24,939,000","11,048,000","-22,120,000","-4,248,000","28,226,000"
TotalUnusualItemsExcludingGoodwill,"-119,152,000",,,"-169,856,000","21,165,000",,,"35,603,000","-91,720,000","-128,911,000",,"81,470,000","976,000","-20,555,000",,"9,522,000","-74,531,000","-37,502,000",,"7,717,000","213,427,000",,,"37,738,000","82,943,000",,,"-107,100,000","-103,933,000",,,"9,241,000","6,810,000",,,"-20,313,000","-18,913,000",,,"-8,684,000","-21,284,000","0",,,,,,,,,,,,,,
TotalUnusualItems,"-119,152,000",,,"-169,856,000","21,165,000",,,"35,603,000","-91,720,000","-128,911,000",,"81,470,000","976,000","-20,555,000",,"9,522,000","-74,531,000","-37,502,000",,"7,717,000","213,427,000",,,"37,738,000","82,943,000",,,"-107,100,000","-103,933,000",,,"9,241,000","6,810,000",,,"-20,313,000","-18,913,000",,,"-8,684,000","-21,284,000","0",,,,,,,,,,,,,,
NormalizedEBITDA,"3,079,814,000","276,211,000","1,200,128,000","1,595,657,000","445,358,000","279,756,000","877,186,000","632,631,000","134,511,000","281,868,000","441,894,000","218,053,000","187,685,000","-34,940,000","404,801,000","211,885,000","183,047,000","213,485,000","346,055,000","285,278,000","3,356,000","176,114,000","201,120,000","144,400,000","147,139,000","61,057,000","44,984,000","154,316,000","214,640,000","187,585,000","207,834,000","86,188,000","54,037,000","80,629,000","85,386,000","128,959,000","54,375,000","57,903,000","120,834,000","105,280,000","69,465,000","76,054,000","43,089,000","124,741,000","86,368,000","140,695,000","102,163,000","100,313,000","198,436,000","40,124,000","235,000","67,213,000","15,860,000","-20,033,000","28,383,000","73,177,000"
TaxRateForCalcs,"0.277","0.4","0.282","0.315","0.184","0.34","0.313","0.304","0.157","0.34","0.322","0.323","0.34","0.359","0.32","0.327","0.153","0.187","0.326","0.329","0.157","0.281","0.323","0.33","0.276","0.34","0.354","0.34","0.23","0.121","0.281","0.336","0.048","0.34","0.01","0.321","0.34","0.334","0.324","0.173","0.212","0.34","0.216","0.34","0.316","0.337","0.347","0.346","0.34","0.34","0.34","0.305","0.31","0.375","0.34","0.315"
TaxEffectOfUnusualItems,"-32,997,104.308","0","0","-53,504,640","3,903,587.556","0","0","10,837,553.2","-14,372,391.868","-43,829,740","0","26,314,810","331,840","-7,372,264.985","0","3,109,925.89","-11,371,343.211","-7,023,702.887","0","2,538,893","33,609,504.511","0","0","12,453,540","22,882,788.8","0","0","-36,414,000","-23,919,218.245","0","0","3,104,233.852","328,341.966","0","0","-6,525,738.87","-6,430,420","0","0","-1,502,332","-4,518,604.741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
