Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2018-01-12 00:00:00-05:00,940.25,944.0,937.25,944.0,149724
2018-01-16 00:00:00-05:00,965.0,970.0,963.25,968.0,97797
2018-01-17 00:00:00-05:00,966.25,969.25,961.25,968.75,91701
2018-01-18 00:00:00-05:00,968.75,974.75,966.5,973.0,74574
2018-01-19 00:00:00-05:00,972.5,982.75,972.0,977.25,105770
2018-01-22 00:00:00-05:00,980.5,987.25,980.0,984.25,124262
2018-01-23 00:00:00-05:00,983.0,988.75,979.5,986.25,107959
2018-01-24 00:00:00-05:00,985.75,994.75,980.25,992.25,139169
2018-01-25 00:00:00-05:00,992.0,1002.0,987.0,992.25,154146
2018-01-26 00:00:00-05:00,990.25,995.5,983.75,985.5,110339
2018-01-29 00:00:00-05:00,992.25,998.75,986.25,991.5,143395
2018-01-30 00:00:00-05:00,994.5,1004.75,988.25,1000.25,169083
2018-01-31 00:00:00-05:00,1000.0,1002.0,989.0,995.75,165828
2018-02-01 00:00:00-05:00,995.25,995.5,977.5,985.0,159220
2018-02-02 00:00:00-05:00,985.75,986.25,977.0,978.75,100314
2018-02-05 00:00:00-05:00,976.25,977.5,969.5,969.75,128425
2018-02-06 00:00:00-05:00,969.75,987.5,967.75,986.25,179233
2018-02-07 00:00:00-05:00,988.75,993.75,982.0,983.0,167291
2018-02-08 00:00:00-05:00,983.25,996.0,977.75,987.75,230204
2018-02-09 00:00:00-05:00,987.5,989.75,979.75,983.0,164565
2018-02-12 00:00:00-05:00,995.5,1004.25,989.0,1001.75,215178
2018-02-13 00:00:00-05:00,1001.0,1013.5,998.75,1011.75,177145
2018-02-14 00:00:00-05:00,1011.25,1019.5,1006.0,1017.25,154450
2018-02-15 00:00:00-05:00,1016.5,1024.75,1015.5,1024.25,158344
2018-02-16 00:00:00-05:00,1023.5,1028.25,1012.0,1021.5,146731
2018-02-20 00:00:00-05:00,1031.5,1039.0,1024.5,1026.5,193966
2018-02-21 00:00:00-05:00,1027.75,1038.25,1019.25,1034.25,133023
2018-02-22 00:00:00-05:00,1034.0,1037.0,1027.25,1032.0,108212
2018-02-23 00:00:00-05:00,1031.0,1039.5,1028.0,1036.25,108212
2018-02-26 00:00:00-05:00,1039.5,1047.75,1034.0,1034.25,136487
2018-02-27 00:00:00-05:00,1034.0,1044.25,1031.75,1038.0,78531
2018-02-28 00:00:00-05:00,1037.75,1048.0,1035.0,1045.0,14916
2018-03-01 00:00:00-05:00,1043.75,1057.5,1041.0,1057.5,7733
2018-03-02 00:00:00-05:00,1057.0,1071.0,1053.5,1060.75,5525
2018-03-05 00:00:00-05:00,1063.5,1068.0,1056.75,1066.75,3045
2018-03-06 00:00:00-05:00,1066.0,1067.0,1060.75,1064.5,2839
2018-03-07 00:00:00-05:00,1058.0,1063.0,1054.5,1055.0,2360
2018-03-08 00:00:00-05:00,1052.5,1057.25,1047.0,1053.75,493
2018-03-09 00:00:00-05:00,1049.75,1049.75,1029.25,1029.25,390
2018-03-12 00:00:00-04:00,1023.0,1034.25,1023.0,1033.25,1590
2018-03-13 00:00:00-04:00,1035.5,1043.25,1035.5,1040.5,249
2018-03-14 00:00:00-04:00,1042.25,1042.75,1028.5,1028.5,148683
2018-03-15 00:00:00-04:00,1031.0,1046.25,1027.0,1040.75,123213
2018-03-16 00:00:00-04:00,1042.0,1050.0,1040.75,1049.5,78281
2018-03-19 00:00:00-04:00,1045.25,1045.5,1021.75,1022.5,131023
