businessDate,transactionTime,rate,productCode,securityId,productDescription
10-21-2020,10-21-2020:10:00:00,0.07179,TY1,729303,12MTH SOFR SYNTH FUT
10-22-2020,10-22-2020:10:00:00,0.0774,TR6,623206,6-MTH SOFR SYNTH FUT
10-22-2020,10-22-2020:10:00:00,0.0823,TR3,663077,3-MTH SOFR SYNTH FUT
10-22-2020,10-22-2020:10:00:00,0.0797,TR1,401927,1-MTH SOFR SYNTH FUT
10-22-2020,10-22-2020:10:00:00,0.07533,TY1,729303,12MTH SOFR SYNTH FUT
10-23-2020,10-23-2020:10:00:39,0.0793,TR6,623206,6-MTH SOFR SYNTH FUT
10-23-2020,10-23-2020:10:00:39,0.083,TR3,663077,3-MTH SOFR SYNTH FUT
10-23-2020,10-23-2020:10:00:39,0.0799,TR1,401927,1-MTH SOFR SYNTH FUT
10-23-2020,10-23-2020:10:00:39,0.07611,TY1,729303,12MTH SOFR SYNTH FUT
10-26-2020,10-26-2020:10:00:00,0.0814,TR6,623206,6-MTH SOFR SYNTH FUT
10-26-2020,10-26-2020:10:00:00,0.0843,TR3,663077,3-MTH SOFR SYNTH FUT
10-26-2020,10-26-2020:10:00:00,0.0808,TR1,401927,1-MTH SOFR SYNTH FUT
10-26-2020,10-26-2020:10:00:00,0.06932,TY1,729303,12MTH SOFR SYNTH FUT
10-27-2020,10-27-2020:10:00:36,0.0766,TR6,623206,6-MTH SOFR SYNTH FUT
10-27-2020,10-27-2020:10:00:36,0.0806,TR3,663077,3-MTH SOFR SYNTH FUT
10-27-2020,10-27-2020:10:00:36,0.0801,TR1,401927,1-MTH SOFR SYNTH FUT
10-27-2020,10-27-2020:10:00:36,0.07106,TY1,729303,12MTH SOFR SYNTH FUT
10-28-2020,10-28-2020:10:00:00,0.0779,TR6,623206,6-MTH SOFR SYNTH FUT
10-28-2020,10-28-2020:10:00:00,0.0819,TR3,663077,3-MTH SOFR SYNTH FUT
10-28-2020,10-28-2020:10:00:00,0.0822,TR1,401927,1-MTH SOFR SYNTH FUT
10-28-2020,10-28-2020:10:00:00,0.07059,TY1,729303,12MTH SOFR SYNTH FUT
10-29-2020,10-29-2020:10:00:38,0.0779,TR6,623206,6-MTH SOFR SYNTH FUT
10-29-2020,10-29-2020:10:00:38,0.0826,TR3,663077,3-MTH SOFR SYNTH FUT
10-29-2020,10-29-2020:10:00:38,0.0826,TR1,401927,1-MTH SOFR SYNTH FUT
10-29-2020,10-29-2020:10:00:38,0.06906,TY1,729303,12MTH SOFR SYNTH FUT
10-30-2020,10-30-2020:10:00:00,0.0777,TR6,623206,6-MTH SOFR SYNTH FUT
10-30-2020,10-30-2020:10:00:00,0.0829,TR3,663077,3-MTH SOFR SYNTH FUT
10-30-2020,10-30-2020:10:00:00,0.084,TR1,401927,1-MTH SOFR SYNTH FUT
10-30-2020,10-30-2020:10:00:00,0.06925,TY1,729303,12MTH SOFR SYNTH FUT
11-02-2020,11-02-2020:13:28:00,0.0773,TR6,623206,6-MTH SOFR SYNTH FUT
11-02-2020,11-02-2020:13:28:00,0.0815,TR3,663077,3-MTH SOFR SYNTH FUT
11-02-2020,11-02-2020:13:28:00,0.0805,TR1,401927,1-MTH SOFR SYNTH FUT
